context_3,context_2,context_1,response
Блинский))) свет отрубили до 17:00 МСК. Что за невезение(,"Беспроводная сесть - это у меня WIFI адаптер, через который я подключен к интернет.",В договорах какую ставить дату ?,Ставьте 1 июля
"Беспроводная сесть - это у меня WIFI адаптер, через который я подключен к интернет.",В договорах какую ставить дату ?,Ставьте 1 июля,обратно придет с подписями обеих сторон? скан же только джепег?
,,,не подскажете что писать здесь?
,,не подскажете что писать здесь?,пишите себя как физика без ООО
,,,Себя как физ лицо. Наставники подскажут
,,,Обратно пришлют договор со всеми подписями ? и кто его пришлет?
,,Обратно пришлют договор со всеми подписями ? и кто его пришлет?,Можете поставить мне дедлайн))
,,,"Недавно наткнулся на статью, в Моск.обл. по губернаторской программе есть налоговый вычет на образование. Но есть тонкости, например нельзя самозанятым, а я есть самозанятый. Наверняка подобное есть и по другим регионам.
Никто не сталкивался с подобным? С чем его едят?🤔"
,,"Недавно наткнулся на статью, в Моск.обл. по губернаторской программе есть налоговый вычет на образование. Но есть тонкости, например нельзя самозанятым, а я есть самозанятый. Наверняка подобное есть и по другим регионам.
Никто не сталкивался с подобным? С чем его едят?🤔","есть несколько типов вычета, социальный, имущественный, инвестиционный. По образованию относится к первому виду. У компании должна быть лицензия на обучения, а у Вас доход по ставке 13%. Чисто самозанятый вычет не получит."
,,,"добрый день! подскажите где номер договора свой посмотреть. Вроде была ссылка, но найти не могу"
,,"добрый день! подскажите где номер договора свой посмотреть. Вроде была ссылка, но найти не могу",.
,"добрый день! подскажите где номер договора свой посмотреть. Вроде была ссылка, но найти не могу",.,Спасибо
"добрый день! подскажите где номер договора свой посмотреть. Вроде была ссылка, но найти не могу",.,Спасибо,"Налоговые вычеты действуют по всей стране, а не по каким-то регионам. Для получения вычета нужно иметь доход в периоде, с которого удерживался НДФЛ, статус занятости не имеет значения. Самозанятые не платят НДФЛ (у них другой налог), но НДФЛ начисляется, например, на доход с инвестиций, доход от продажи недвижимости  и т.д. (не только при работе по найму). Если уплачивался НДФЛ, то можно будет получить вычет."
,,,Доброго. а фото можно отправить? я из группы 19.00
,,Доброго. а фото можно отправить? я из группы 19.00,качественное фото - ок
,,,Может кто нибудь подказать как стринг в инт перевести?
,,Может кто нибудь подказать как стринг в инт перевести?,int.Parse(str)
,,,Convert.ToInt32()
,,Convert.ToInt32(),"Заблокировал днс, настроила впн по этому видео. Работает"
,Convert.ToInt32(),"Заблокировал днс, настроила впн по этому видео. Работает",На завтра делаем 1е задание на Primo
Convert.ToInt32(),"Заблокировал днс, настроила впн по этому видео. Работает",На завтра делаем 1е задание на Primo,"подскажите пожалуйста
prima надо запросить бесплатную версию
или демо"
"Заблокировал днс, настроила впн по этому видео. Работает",На завтра делаем 1е задание на Primo,"подскажите пожалуйста
prima надо запросить бесплатную версию
или демо","бесплатную, community"
На завтра делаем 1е задание на Primo,"подскажите пожалуйста
prima надо запросить бесплатную версию
или демо","бесплатную, community",спасибо)))
"подскажите пожалуйста
prima надо запросить бесплатную версию
или демо","бесплатную, community",спасибо))),Да она моментально на почту прилетает со всеми инструкциями)
"бесплатную, community",спасибо))),Да она моментально на почту прилетает со всеми инструкциями),Я запросил 2 часа назад - ничего не пришло
спасибо))),Да она моментально на почту прилетает со всеми инструкциями),Я запросил 2 часа назад - ничего не пришло,"кто-нибудь уже поставил последнюю версию ?
У меня стояла полугодовалая, поставил поверх, она написала, что обновилась ,  но по about пишет старая версия (вроде бы):"
Да она моментально на почту прилетает со всеми инструкциями),Я запросил 2 часа назад - ничего не пришло,"кто-нибудь уже поставил последнюю версию ?
У меня стояла полугодовалая, поставил поверх, она написала, что обновилась ,  но по about пишет старая версия (вроде бы):",у меня в рассылки пришло
Я запросил 2 часа назад - ничего не пришло,"кто-нибудь уже поставил последнюю версию ?
У меня стояла полугодовалая, поставил поверх, она написала, что обновилась ,  но по about пишет старая версия (вроде бы):",у меня в рассылки пришло,У нее я так понял второе окно открыть нельзя?
"кто-нибудь уже поставил последнюю версию ?
У меня стояла полугодовалая, поставил поверх, она написала, что обновилась ,  но по about пишет старая версия (вроде бы):",у меня в рассылки пришло,У нее я так понял второе окно открыть нельзя?,а так за минуту ответили
у меня в рассылки пришло,У нее я так понял второе окно открыть нельзя?,а так за минуту ответили,вторую копию студии?
У нее я так понял второе окно открыть нельзя?,а так за минуту ответили,вторую копию студии?,У меня вот эта версия
а так за минуту ответили,вторую копию студии?,У меня вот эта версия,"запустил 2 копии primo stutio без проблем
ммм. попробую перегрузку, если не поможет, буду переставлять студию"
вторую копию студии?,У меня вот эта версия,"запустил 2 копии primo stutio без проблем
ммм. попробую перегрузку, если не поможет, буду переставлять студию","АААА понял через ярлык это делается)))
версия citizen это та что в видео уроках на youtube, версия pro это очень напоминает 1С версии 7.7 )))))))))))))) у меня такие ассоциации))"
У меня вот эта версия,"запустил 2 копии primo stutio без проблем
ммм. попробую перегрузку, если не поможет, буду переставлять студию","АААА понял через ярлык это делается)))
версия citizen это та что в видео уроках на youtube, версия pro это очень напоминает 1С версии 7.7 )))))))))))))) у меня такие ассоциации))","а сколько она весит
а то все качает и качает"
"запустил 2 копии primo stutio без проблем
ммм. попробую перегрузку, если не поможет, буду переставлять студию","АААА понял через ярлык это делается)))
версия citizen это та что в видео уроках на youtube, версия pro это очень напоминает 1С версии 7.7 )))))))))))))) у меня такие ассоциации))","а сколько она весит
а то все качает и качает",2 гига
"АААА понял через ярлык это делается)))
версия citizen это та что в видео уроках на youtube, версия pro это очень напоминает 1С версии 7.7 )))))))))))))) у меня такие ассоциации))","а сколько она весит
а то все качает и качает",2 гига,"странно, у меня дистрибутив весит 285мб"
"а сколько она весит
а то все качает и качает",2 гига,"странно, у меня дистрибутив весит 285мб",А архив скачался на 2 гига.
2 гига,"странно, у меня дистрибутив весит 285мб",А архив скачался на 2 гига.,вот какую ссылку я нажимал из полученного письма:
"странно, у меня дистрибутив весит 285мб",А архив скачался на 2 гига.,вот какую ссылку я нажимал из полученного письма:,"Там превьюшки на 1,6 гб"
А архив скачался на 2 гига.,вот какую ссылку я нажимал из полученного письма:,"Там превьюшки на 1,6 гб",может кто сталкивался?
вот какую ссылку я нажимал из полученного письма:,"Там превьюшки на 1,6 гб",может кто сталкивался?,"Я запускал msi , и установилась нормально"
"Там превьюшки на 1,6 гб",может кто сталкивался?,"Я запускал msi , и установилась нормально","я ставил 64х версию на  вин11, запускал с правами администратора, все ок было. Правда, у меня была установлена старая версия, полугодовалая, я ее через повторную установку и удаление только смог снести,  новая версия поверх хоть и ставилась, но запускалась старая"
,,,64 версию не качает
,,64 версию не качает,У меня скачал 64 и поставил нормально.
,,,"а 86 скачал
-_-"
,,"а 86 скачал
-_-",Они же обе в одном архиве 🧐
,"а 86 скачал
-_-",Они же обе в одном архиве 🧐,попробуйте через этот линк качать\
"а 86 скачал
-_-",Они же обе в одном архиве 🧐,попробуйте через этот линк качать\,citizen?
Они же обе в одном архиве 🧐,попробуйте через этот линк качать\,citizen?,Про
попробуйте через этот линк качать\,citizen?,Про,"PRO лучше
ситизен обрезанная для новичков"
citizen?,Про,"PRO лучше
ситизен обрезанная для новичков",спасибо))
Про,"PRO лучше
ситизен обрезанная для новичков",спасибо)),"да в citizen список активностей маленький, может конечно как то вызывается)) но фз"
"PRO лучше
ситизен обрезанная для новичков",спасибо)),"да в citizen список активностей маленький, может конечно как то вызывается)) но фз","у меня одного проблемы с нахождением материала по PRIMO по работе с CHROME? Активности, связанные с WEB , что мне удалось найти, работают с устаревшим IE, в котором наши сайты не факт, что откроются.
Есть плагин поддержки Chrome, я его установил, но найти аналогов как в PIX , вроде открытия браузера именно Chrome, найти элементы и прочее   относятся вроде бы, к IE
аа, нашел в свойствах открыть браузер, поле ""тип браузера"", есть прогресс )"
,,,Пипец вы ураганы ))) у меня обряд по выводу Hello World!! еле свершился)))
,,Пипец вы ураганы ))) у меня обряд по выводу Hello World!! еле свершился))),Канонический подход у вас. А я без прелюдий сразу браузер начала мучить
,Пипец вы ураганы ))) у меня обряд по выводу Hello World!! еле свершился))),Канонический подход у вас. А я без прелюдий сразу браузер начала мучить,"Да пипец, с чего ее изучать )))) я скачал с github примеры проектов я сам (даже не знаю как назвать) вид кода или что это))) такой ни разу не видел)🤯"
,,,"Там ссылка и тип браузера есть. Активность ""открыть браузер""
Браузер открывает. Дальше пока ступор. Курю мануал."
,,"Там ссылка и тип браузера есть. Активность ""открыть браузер""
Браузер открывает. Дальше пока ступор. Курю мануал.","ага, я уже нашел, спасибо.
Но какой же Primo тормоз, по сравнению с PIX - кошмар.
Простой запуск срипта до появления первого действия у меня занимает 3-5 сек, пока он скроет окна студии, включит отладчик..."
,"Там ссылка и тип браузера есть. Активность ""открыть браузер""
Браузер открывает. Дальше пока ступор. Курю мануал.","ага, я уже нашел, спасибо.
Но какой же Primo тормоз, по сравнению с PIX - кошмар.
Простой запуск срипта до появления первого действия у меня занимает 3-5 сек, пока он скроет окна студии, включит отладчик...",я только в обучение полез(
"Там ссылка и тип браузера есть. Активность ""открыть браузер""
Браузер открывает. Дальше пока ступор. Курю мануал.","ага, я уже нашел, спасибо.
Но какой же Primo тормоз, по сравнению с PIX - кошмар.
Простой запуск срипта до появления первого действия у меня занимает 3-5 сек, пока он скроет окна студии, включит отладчик...",я только в обучение полез(,Мне этот стиль построения кода напоминает искусство рисовать японские иероглифы
"ага, я уже нашел, спасибо.
Но какой же Primo тормоз, по сравнению с PIX - кошмар.
Простой запуск срипта до появления первого действия у меня занимает 3-5 сек, пока он скроет окна студии, включит отладчик...",я только в обучение полез(,Мне этот стиль построения кода напоминает искусство рисовать японские иероглифы,"Эт высокоуровневый язык программирования. 15 лет назад нас этим в институте пугали: грядёт вот такое!
Вот и нагрянуло. Ничего, где наша не пропадала! Разберёмся потихонечку все вместе."
я только в обучение полез(,Мне этот стиль построения кода напоминает искусство рисовать японские иероглифы,"Эт высокоуровневый язык программирования. 15 лет назад нас этим в институте пугали: грядёт вот такое!
Вот и нагрянуло. Ничего, где наша не пропадала! Разберёмся потихонечку все вместе.","Привыкнуть нужно )))) от лишних элементов перед глазами, этот оконный стиль, это что то))
и копировать -> вставить похоже нет, от этого вообще грустно. Не могу окно сообщения дублировать в соседнее окно AAAAAAAAAAAAAAAA!!!"
Мне этот стиль построения кода напоминает искусство рисовать японские иероглифы,"Эт высокоуровневый язык программирования. 15 лет назад нас этим в институте пугали: грядёт вот такое!
Вот и нагрянуло. Ничего, где наша не пропадала! Разберёмся потихонечку все вместе.","Привыкнуть нужно )))) от лишних элементов перед глазами, этот оконный стиль, это что то))
и копировать -> вставить похоже нет, от этого вообще грустно. Не могу окно сообщения дублировать в соседнее окно AAAAAAAAAAAAAAAA!!!","Я думаю пойти спать. Утро вечера мудренее. Это должно в голове уложиться. Просто я немножко удивлена устройством примы. Думаю, это дело привычки."
"Эт высокоуровневый язык программирования. 15 лет назад нас этим в институте пугали: грядёт вот такое!
Вот и нагрянуло. Ничего, где наша не пропадала! Разберёмся потихонечку все вместе.","Привыкнуть нужно )))) от лишних элементов перед глазами, этот оконный стиль, это что то))
и копировать -> вставить похоже нет, от этого вообще грустно. Не могу окно сообщения дублировать в соседнее окно AAAAAAAAAAAAAAAA!!!","Я думаю пойти спать. Утро вечера мудренее. Это должно в голове уложиться. Просто я немножко удивлена устройством примы. Думаю, это дело привычки.","+1
Уже голова не варит"
"Привыкнуть нужно )))) от лишних элементов перед глазами, этот оконный стиль, это что то))
и копировать -> вставить похоже нет, от этого вообще грустно. Не могу окно сообщения дублировать в соседнее окно AAAAAAAAAAAAAAAA!!!","Я думаю пойти спать. Утро вечера мудренее. Это должно в голове уложиться. Просто я немножко удивлена устройством примы. Думаю, это дело привычки.","+1
Уже голова не варит","Там есть копировашки
Го спать"
"Я думаю пойти спать. Утро вечера мудренее. Это должно в голове уложиться. Просто я немножко удивлена устройством примы. Думаю, это дело привычки.","+1
Уже голова не варит","Там есть копировашки
Го спать","как ты ее обновил, понять не могу))) не могу найти названия активностей из уроков в программе версии что ли разные 🤬"
"+1
Уже голова не варит","Там есть копировашки
Го спать","как ты ее обновил, понять не могу))) не могу найти названия активностей из уроков в программе версии что ли разные 🤬",Доброе утро. Не могу установить Primo. Выдает такую ошибку
"Там есть копировашки
Го спать","как ты ее обновил, понять не могу))) не могу найти названия активностей из уроков в программе версии что ли разные 🤬",Доброе утро. Не могу установить Primo. Выдает такую ошибку,Прямо из архива запускаете? Попробуйте разархивировать
"как ты ее обновил, понять не могу))) не могу найти названия активностей из уроков в программе версии что ли разные 🤬",Доброе утро. Не могу установить Primo. Выдает такую ошибку,Прямо из архива запускаете? Попробуйте разархивировать,Спасибо. Следующий косяк...
Доброе утро. Не могу установить Primo. Выдает такую ошибку,Прямо из архива запускаете? Попробуйте разархивировать,Спасибо. Следующий косяк...,"Спасибо! По вашим следам установил примо без проблем! Но всё же советую спать по ночам!
Тоже я начал сразу с браузера
Для поиска элементов xpath здесь нет?"
Прямо из архива запускаете? Попробуйте разархивировать,Спасибо. Следующий косяк...,"Спасибо! По вашим следам установил примо без проблем! Но всё же советую спать по ночам!
Тоже я начал сразу с браузера
Для поиска элементов xpath здесь нет?","На сайте примо тоже есть академия. Буквально 3-4 часа и все станет понятно
ну почти все 😁"
Спасибо. Следующий косяк...,"Спасибо! По вашим следам установил примо без проблем! Но всё же советую спать по ночам!
Тоже я начал сразу с браузера
Для поиска элементов xpath здесь нет?","На сайте примо тоже есть академия. Буквально 3-4 часа и все станет понятно
ну почти все 😁","Уже 2 часа сижу, не могу понять, как информацию выбирать со страницы"
,,,"Инструмент более развитый.
По крайней мере есть приличная документация."
,,"Инструмент более развитый.
По крайней мере есть приличная документация.",по первому впечатлению мне тоже примо пока что кажется поинтереснее
,"Инструмент более развитый.
По крайней мере есть приличная документация.",по первому впечатлению мне тоже примо пока что кажется поинтереснее,"Да, и мне интересно. Сразу структурировано"
,,,Где читаете?
,,Где читаете?,https://docs.primo-rpa.ru/primo-rpa/orchestrator/basics
,,,я присылал документы
,,я присылал документы,"я отправил Андрею Деревнину
жду ответа"
,я присылал документы,"я отправил Андрею Деревнину
жду ответа",Я 3.07 отправлял документы Андрею Деревнину
я присылал документы,"я отправил Андрею Деревнину
жду ответа",Я 3.07 отправлял документы Андрею Деревнину,Я тоже отправлял Андрею Деревнину
"я отправил Андрею Деревнину
жду ответа",Я 3.07 отправлял документы Андрею Деревнину,Я тоже отправлял Андрею Деревнину,"Кто-нибудь сделал получение цены? Поясните, что-то не понимаю"
Я 3.07 отправлял документы Андрею Деревнину,Я тоже отправлял Андрею Деревнину,"Кто-нибудь сделал получение цены? Поясните, что-то не понимаю","до туда пока далеко).... URL у браузера кто-то смог получить? тоже пол ночи просидел, но затык тут у меня получился. ""crome.URL"" нет такого метода т.к. браузер другой тип данных тут получается"
,,,"У меня почему-то не работает опция отладки блоков ""пропустить"". Включаю, или отключаю ее - все равно выполняется блок. У всех так?"
,,"У меня почему-то не работает опция отладки блоков ""пропустить"". Включаю, или отключаю ее - все равно выполняется блок. У всех так?","Да, тоже"
,,,"Я так же не понял как отключать, все равно выполняются."
,,"Я так же не понял как отключать, все равно выполняются.","бардак
как отлаживаться в такой среде без отключений блоков? Переносить в другой скрипт, как в песочницу и возвращать по 100 раз ?"
,,,"я так понял, что нужно эти блоки помещать в элемент ""Закомментировать"" 😐"
,,"я так понял, что нужно эти блоки помещать в элемент ""Закомментировать"" 😐",😳
,,,"Кнопка ""Пропустить"" на блоках прекрасно работает, но только в отладке"
,,,Короче дипломная работа - переписать софт🤣
,,Короче дипломная работа - переписать софт🤣,пройди сначала уровень тестировщика😥
,,,"еще если создать проект из шаблона, появляется монстроидальная структура проекта в виде блок схемы. Как ни старался, не смог найти способ двигать его в пределах экрана методом драгэнддропа. Только через вертикальный и горизонтальный скроллбары, как в каменном веке....\"
,,"еще если создать проект из шаблона, появляется монстроидальная структура проекта в виде блок схемы. Как ни старался, не смог найти способ двигать его в пределах экрана методом драгэнддропа. Только через вертикальный и горизонтальный скроллбары, как в каменном веке....\","Ладно, давайте без паники, совместными усилиями решим."
,,,"Все делают первую версию в виде процесса, или кто-то сразу начал делать в виде проекта?"
,,"Все делают первую версию в виде процесса, или кто-то сразу начал делать в виде проекта?","колдую проект, только начал"
,,,"я в виде процесса, выстраиваю один за другим"
,,"я в виде процесса, выстраиваю один за другим","В формате процесса (последовательности) непросто делать сложные ветвления.. Не хватает переходов, или команды завершить скрипт, чтобы лаконично обработать нерабочие моменты"
,,,как прочитать файл эксель?
,,как прочитать файл эксель?,Чтение диапазона вроде
,как прочитать файл эксель?,Чтение диапазона вроде,я хочу чтение колонки использовать. но не пойму что писать в свойство ячейка и индекс страницы
,,,"в ячейку ""A"" поставил"
,,,"Кто разобрался с относительными путями?
Пытаюсь читать как PIX относительно папки запуска скрипта файл со списком: @""task\List.txt""
Не находит файл.
Пытался так указывать: ""task\\List.txt"" -тоже не находит"
,,"Кто разобрался с относительными путями?
Пытаюсь читать как PIX относительно папки запуска скрипта файл со списком: @""task\List.txt""
Не находит файл.
Пытался так указывать: ""task\\List.txt"" -тоже не находит","для последнего примера должно работать : "".\\task\\List.txt"""
,"Кто разобрался с относительными путями?
Пытаюсь читать как PIX относительно папки запуска скрипта файл со списком: @""task\List.txt""
Не находит файл.
Пытался так указывать: ""task\\List.txt"" -тоже не находит","для последнего примера должно работать : "".\\task\\List.txt""",это если папка task находится в папке со скриптом
,,,"это из той же папки, где скрипт"
,,"это из той же папки, где скрипт","А, от имени администратора если запустить софт, не становится лучше?"
,"это из той же папки, где скрипт","А, от имени администратора если запустить софт, не становится лучше?","смысл в том, что нужно экранировать обратный слэш:  \\"
"это из той же папки, где скрипт","А, от имени администратора если запустить софт, не становится лучше?","смысл в том, что нужно экранировать обратный слэш:  \\","Разобрался с путями - я ошибся с разными проектами, где начинал делать код и потом реально сделал его.. Прошу прощение за ошибку.
Нашел как сделать выход из кода по эксепшен при возникновении нерабочих моментов - активность называется Исключение
Удобно вставлять и передвигать заглушку по коду:"
"А, от имени администратора если запустить софт, не становится лучше?","смысл в том, что нужно экранировать обратный слэш:  \\","Разобрался с путями - я ошибся с разными проектами, где начинал делать код и потом реально сделал его.. Прошу прощение за ошибку.
Нашел как сделать выход из кода по эксепшен при возникновении нерабочих моментов - активность называется Исключение
Удобно вставлять и передвигать заглушку по коду:","Я программу ещё не открывала, но судя по вашим сообщениям там сложно....
Мне уже страшно 😅"
"смысл в том, что нужно экранировать обратный слэш:  \\","Разобрался с путями - я ошибся с разными проектами, где начинал делать код и потом реально сделал его.. Прошу прощение за ошибку.
Нашел как сделать выход из кода по эксепшен при возникновении нерабочих моментов - активность называется Исключение
Удобно вставлять и передвигать заглушку по коду:","Я программу ещё не открывала, но судя по вашим сообщениям там сложно....
Мне уже страшно 😅","Кто нашел как можно группировать несколько команд в один блок и скрывать его по необходимости, для экономии места (как в пиксе контейнер?
Это по началу так всегда, как на велосипеде учиться кататься ;)"
,,,"пытаюсь читать колонку, ячейка ""A1"", в вывод ставлю List <String> Даёт ошибку. Какую коллекцию исполовать?"
,,"пытаюсь читать колонку, ячейка ""A1"", в вывод ставлю List <String> Даёт ошибку. Какую коллекцию исполовать?","может там диапазон ячеек указать? я еще не пробовал это, но вдруг"
,"пытаюсь читать колонку, ячейка ""A1"", в вывод ставлю List <String> Даёт ошибку. Какую коллекцию исполовать?","может там диапазон ячеек указать? я еще не пробовал это, но вдруг","в подсказке пишет, что нужно указать первую ячейку"
,,,"может быть, перед именем переменной со списком поставить преобразование типов?"
,,"может быть, перед именем переменной со списком поставить преобразование типов?",попробую
,,,например : А1:А7
,,,А как тогда он поймет размерность столбца? не весь же миллион прочитает?
,,А как тогда он поймет размерность столбца? не весь же миллион прочитает?,пока не знаю
,,,"кстати - можно прочитать не столбец, а диапазон. и работать как с таблицей"
,,"кстати - можно прочитать не столбец, а диапазон. и работать как с таблицей","а может по умолчанию для переменной задать значение, тогда размерность известна будет"
,,,тогда можно указать от и до
,,тогда можно указать от и до,я хотел названия товаров только вычитать
,тогда можно указать от и до,я хотел названия товаров только вычитать,"ну так:
читаем диапазон в таблицу
для каждого элемента таблицы.Rows
  товар = элемент[0]
в итоге получам искомое
ну и проверяем еще чтобы элемент был не пустым (пропускаем такое)
а то в нашем списке в задании последняя строка как раз пустая
Чтение столбца из Excel для чего нужно? Для чтения конфига?"
тогда можно указать от и до,я хотел названия товаров только вычитать,"ну так:
читаем диапазон в таблицу
для каждого элемента таблицы.Rows
  товар = элемент[0]
в итоге получам искомое
ну и проверяем еще чтобы элемент был не пустым (пропускаем такое)
а то в нашем списке в задании последняя строка как раз пустая
Чтение столбца из Excel для чего нужно? Для чтения конфига?",для чтения только названий товаров
,,,для чтения из уже частично сформированного файла?
,,для чтения из уже частично сформированного файла?,для исходного файла задания
,,,"или для добавления к уже существующему?
Я так просто удаляю в начале работы скрипта файл с отчетом от предыдущих запусков..."
,,"или для добавления к уже существующему?
Я так просто удаляю в начале работы скрипта файл с отчетом от предыдущих запусков...","да я про то, что нужно сформировать список названий, чтобы сканировать на сайте днс"
,,,исходный файл с заданием разве не сформирован в виде текстового файла?
,,исходный файл с заданием разве не сформирован в виде текстового файла?,"new List<String> ({{""""},{""""},{""""},{""""},{""""}}) пытаюсь инициализировать, но не помню синтаксис"
,,,гмм. а я понял этот файл xls как просто пример отчета и сформировал его в отдельном текстовом файле...
,,гмм. а я понял этот файл xls как просто пример отчета и сформировал его в отдельном текстовом файле...,а я из него беру😁
,,,"теперь я думаю, что неправильно понял задание )
Сделаю в PRIMO вариант чтения из этого файла"
,,"теперь я думаю, что неправильно понял задание )
Сделаю в PRIMO вариант чтения из этого файла",не факт
,,,зато это сокращает задачу по формату таблицы и необходимости добавлять заголовки в нее
,,зато это сокращает задачу по формату таблицы и необходимости добавлять заголовки в нее,"да, сначала я так и делал. потом перешёл на списки, и там запутался с нумерацией"
,,,списки для чего? для добавления в таблицу  PIX с данными?
,,списки для чего? для добавления в таблицу  PIX с данными?,да. работа в озу быстрее и корректнее (не надо каждый раз дёргать винчестер)
,,,"для добавления  в таблицу нужен не список, а словарь"
,,"для добавления  в таблицу нужен не список, а словарь",и словарь тоже использовал для прописывания шапки таблицы
,,,"шапка прописывается отдельной активностью:
последний скрин - добавление одной строки в таблицу, в цикле"
,,"шапка прописывается отдельной активностью:
последний скрин - добавление одной строки в таблицу, в цикле","да, я уже потом понял, но было поздно, строку также добавил в конце в виде шапки
давай по этому заданию а то время идёт"
